project, year, totaltickets, opentickets, gcstars, totalrepowrites, watchers, collaborators, size, language
"4848", "2008", "0", "0", "2", "17", "2", "0", "88", "C"
"4850", "2008", "0", "0", "2", "129", "2", "0", "228", "C"
"4851", "2008", "0", "0", "4", "14", "4", "1", "110", "C"
"4855", "2008", "0", "0", "2", "462", "2", "22", "1178", "Ruby"
"4856", "2008", "0", "0", "2", "608", "2", "0", "729", "Ruby"
"4857", "2008", "0", "0", "37", "594", "37", "9", "2711", "Java"
"4859", "2008", "2", "2", "316", "146", "316", "22", "4798", "Ruby"
"4865", "2008", "0", "0", "2", "559", "2", "0", "2020", "C++"
"4867", "2008", "0", "0", "5", "47", "5", "0", "152", "Java"
"4879", "2008", "0", "0", "2", "282", "2", "0", "346", "Ruby"
"4880", "2008", "0", "0", "2", "301", "2", "0", "6013", "Ruby"
"4881", "2008", "0", "0", "2", "20", "2", "0", "88", "C++"
"4883", "2008", "0", "0", "4", "12", "4", "0", "528", "Ruby"
"4885", "2008", "0", "0", "8", "81", "8", "1", "3606", "JavaScript"
"4887", "2008", "32", "32", "598", "90", "598", "220", "532", "Ruby"
"4888", "2008", "0", "0", "15", "1", "15", "1", "84", "Ruby"
"4890", "2008", "1", "1", "34", "10", "34", "7", "188", "Ruby"
"4892", "2008", "0", "0", "2", "4", "2", "0", "180", "Lua"
"4896", "2008", "0", "0", "2", "1", "2", "0", "92", "Lua"
"4901", "2008", "0", "0", "8", "3", "8", "1", "970", "Ruby"
"4903", "2008", "0", "0", "2", "4", "2", "0", "80", "Lua"
"4905", "2008", "0", "0", "8", "31", "8", "0", "5734", "Ruby"
"4906", "2008", "0", "0", "5", "125", "5", "0", "192", "Ruby"
"4907", "2008", "0", "0", "9", "202", "9", "1", "443", "Ruby"
"4910", "2008", "0", "0", "4", "66", "4", "4", "580", "Ruby"
"4912", "2008", "1", "1", "32", "34", "32", "2", "147", "Ruby"
"4921", "2008", "0", "1", "54", "12", "54", "7", "260", "JavaScript"
"4934", "2008", "0", "0", "2", "82", "2", "0", "2896", "Ruby"
"4936", "2008", "0", "0", "2", "", "2", "0", "48", ""
"4937", "2008", "4", "4", "106", "58", "106", "30", "201", "Ruby"
"4945", "2008", "0", "0", "3", "7", "3", "0", "128", "Ruby"
"4957", "2008", "11", "11", "250", "67", "250", "43", "186", "C"
"4968", "2008", "0", "0", "5", "68", "5", "0", "160", "Ruby"
"4976", "2008", "1", "1", "189", "203", "189", "9", "4755", "Java"
"4981", "2008", "0", "0", "35", "39", "35", "4", "338", "Ruby"
"4987", "2008", "0", "0", "2", "3", "2", "0", "80", "Ruby"
"4993", "2008", "1", "1", "3", "27", "3", "0", "3076", "Ruby"
"4999", "2008", "0", "0", "2", "28", "2", "0", "147", "Ruby"
"5012", "2008", "0", "0", "7", "12", "7", "0", "220", "JavaScript"
"5013", "2008", "1", "1", "41", "141", "41", "13", "385", "Erlang"
"5015", "2008", "0", "0", "20", "44", "20", "9", "249", "Erlang"
"5018", "2008", "5", "5", "6", "314", "6", "2", "32628", "Ruby"
"5022", "2008", "0", "0", "3", "3", "3", "0", "116", "Python"
"5025", "2008", "0", "0", "4", "5", "4", "2", "422", "Nu"
"5028", "2008", "0", "0", "2", "68", "2", "1", "574", "Ruby"
"5030", "2008", "0", "0", "4", "8", "4", "0", "112", "Ruby"
"5041", "2008", "1", "1", "99", "84", "99", "9", "431", "Ruby"
"5046", "2008", "12", "12", "23", "892", "23", "23", "2051", "Lua"
"5051", "2008", "0", "0", "2", "296", "2", "0", "910", "Ruby"
"5056", "2008", "0", "0", "25", "6", "25", "8", "83", ""
"5058", "2008", "0", "0", "26", "5", "26", "0", "88", "Ruby"
"5062", "2008", "0", "0", "45", "4", "45", "8", "78", "Ruby"
